id,home,away,date,venue,city,country,toss_winner,match_winner,toss_name,win_type,outcome_type,man_of_match,win_margin
1,Sunrisers Hyderabad,Royal Challengers Bangalore,04-05-2017,Rajiv Gandhi International Stadium Uppal,Hyderabad (Deccan),India,Royal Challengers Bangalore,Sunrisers Hyderabad,Field,runs,Result,Yuvraj Singh,35
2,Rising Pune Supergiants,Mumbai Indians,04-06-2017,Maharashtra Cricket Association Stadium,Pune,India,Rising Pune Supergiants,Rising Pune Supergiants,Field,wickets,Result,SPD Smith,7
3,Gujarat Lions,Kolkata Knight Riders,04-07-2017,Saurashtra Cricket Association Stadium,Rajkot,India,Kolkata Knight Riders,Kolkata Knight Riders,Field,wickets,Result,CA Lynn,10
4,Kings XI Punjab,Rising Pune Supergiants,04-08-2017,Holkar Cricket Stadium,Indore,India,Kings XI Punjab,Kings XI Punjab,Field,wickets,Result,GJ Maxwell,6
5,Royal Challengers Bangalore,Delhi Daredevils,04-08-2017,M Chinnaswamy Stadium,Bengaluru,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Bat,runs,Result,KM Jadhav,15
6,Sunrisers Hyderabad,Gujarat Lions,04-09-2017,Rajiv Gandhi International Stadium Uppal,Hyderabad (Deccan),India,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,wickets,Result,Rashid Khan,9
7,Mumbai Indians,Kolkata Knight Riders,04-09-2017,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,Field,wickets,Result,N Rana,4
8,Kings XI Punjab,Royal Challengers Bangalore,04-10-2017,Holkar Cricket Stadium,Indore,India,Royal Challengers Bangalore,Kings XI Punjab,Bat,wickets,Result,AR Patel,8
9,Rising Pune Supergiants,Delhi Daredevils,04-11-2017,Maharashtra Cricket Association Stadium,Pune,India,Rising Pune Supergiants,Delhi Daredevils,Field,runs,Result,SV Samson,97
10,Mumbai Indians,Sunrisers Hyderabad,04-12-2017,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,Field,wickets,Result,JJ Bumrah,4
11,Kolkata Knight Riders,Kings XI Punjab,04-13-2017,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,Field,wickets,Result,Narine,8
12,Royal Challengers Bangalore,Mumbai Indians,04-14-2017,M Chinnaswamy Stadium,Bengaluru,India,Mumbai Indians,Mumbai Indians,Field,wickets,Result,KA Pollard,4
